Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
problem with portal ujtmipzv cwdzunxs,37,5,problem with portal ujtmipzv cwdzunxs,37,5,Chinese,qidgvtwa qvbutayx,24
time tracking do not work qs quality management xwirzvda okhyipgr,65,10,time tracking do not work qs quality management xwirzvda okhyipgr,65,10,Chinese,xwirzvda okhyipgr,24
scanner metroligic for computer wu defective zedlet,51,7,canner metroligic for computer wu defective zedlet,50,7,Chinese,jionmpsf wnkpzcmv,24
install company barcode for ewew vzqomdgt jwoqbuml,50,7,install company barcode for ewew vzqomdgt jwoqbuml,50,7,Chinese,vzqomdgt jwoqbuml,24
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,Chinese,bpctwhsn kzqsbmtp,8
repeat print in tip printer,27,5,repeat print in tip printer,27,5,Chinese,aikejxpb xdavwocg,31
hostname f label dat hostname ebcd be over space consume space available g,74,13,hostname f label dat hostname ebcd be over space consume space available g,74,13,Chinese,spxqmiry zpwgoqju,12
qlhmawgi sgwipoxn wu unlock,27,4,qlhmawgi sgwipoxn wu unlock,27,4,Chinese,olckhmvx pcqobjnd,0
purchase freetext requisition can not be create,47,7,be have serious issue with create shopping car in purchase a buyer group of apac be default and not changeable since this buyer group belong to a different purch org cause an error that can not be overwrite seem this only happen when create freetext shopping cart need immediate action on this no one can create freetext requisition at all,339,60,Chinese,ckmnouwi nxmtkubc,29
vip outlook not work ask for password,37,7,vip outlook not work ask for password no password prompt be come up,67,13,Chinese,zanivrec capbfhur,0
need a dn for material pc plant plant thank,43,9,need a dn for material pc plant plant,37,8,Chinese,wckrxovs aunsgzmd,6
can not access in sid,21,5,can not access in sid,21,5,Chinese,qnvkwalx dfjtxigl,0
error when order in purchase catalog,36,6,receive from email good morning as just discuss with hotline i send the error message that appear when shop in purchase catalog cid hardcopy cid contact,152,26,Chinese,pltkqrfd bfohnjmz,29
need cute pdf instal,20,4,need cute pdf instal,20,4,Chinese,vgptfdqw yjqeridp,19
vpn not work,12,3,from yuxloigj tzfwjxhe send tuesday september am to nwfodmhc exurcwkm subject re action require please connect to the new vpn url before january hello vpn be not work kindly help,178,30,Chinese,cyzonilx jyhutqpd,0
user tfazwrdv upwonzvd s pc name have be change to atcl old pc name atclx,73,15,receive from email user tfazwrdv upwonzvd s pc name have be change to atcl old pc name atclx user want this to be update in telephony software system for i update from may yi email mailto email date september at gmt to rajyutyi kuttiadi email mailto email cc obuwfnkm ufpwmybi email mailto email tfazwrdv upwonzvd email mailto email subject fw computer name change in telephony software hello rajyutyi could help to put below station to company net user name new pc name mac address tfazwrdv upwonzvd atcl f b good,514,90,Chinese,tfazwrdv upwonzvd,7
ethic,5,1,receive from email good morning unfortunately i can not complete the course because i can not get access far go cid email wish with the good and greet gasbfqvp fmvqgjih designer product engineering wear solution company share services gmbh tel fax mobile e mail address email mailto email www company com ecker straße germany bayern germany ceo managing director phvkowml azbtkqwx naruedlk mpvhakdq seat register office fürth bay registergerirtcht list in the court register fürth bay hra personally liable general partner general partner company gmbh germany seat registered office germany registergerirtcht list in the court register bad homburg v d h hrb,657,102,Chinese,gasbfqvp fmvqgjih,23
i can t do purchase requisition at purchase see attachment,58,10,i can t do purchase requisition at purchase see attachment account require a assignment to a co object i can t select a byer,124,24,Chinese,maiklcjz ltwrfysm,29
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,Chinese,bpctwhsn kzqsbmtp,9
computer can t start,20,4,computer can t start,20,4,Chinese,zyblacuk mvjqwgzn,31
need to install nvyjtmca xjhpznd application,44,6,need to install nvyjtmca xjhpznds applications job scheduler backup tool vmware vnc viewer while try to install these application be ask for administration access,162,24,Chinese,spxqmiry zpwgoqju,19
no new fax in on ricoh fax folder at company malaysia public amssm q,68,14,can not see new fax in to public amssm q ricoh fax folder since end of august could please check and fix if there have be any problem,133,28,Chinese,srpkmdcg skdubtnr,12
outloot always prompt for a password change the password do not work turn koga,78,14,outloot always prompt for a password change the password do not work turn koga,78,14,Chinese,cnxbswhv qmtngeyh,30
job bkwin search server qa daily fail in job scheduler at,57,11,receive from email job bkwin search server qa daily fail in job scheduler at,76,14,English,bpctwhsn kzqsbmtp,8
extract file for the request,28,5,extract the file for the request use rscrm bapi,47,9,English,vthuzanc fqdgotvx,9
please help qskwgjym bsqdaxhf delete paramdntyeter and payment run in t code f,78,13,please help qskwgjym bsqdaxhf delete paramdntyeter and payment run in t code f,78,13,English,hlrmufzx qcdzierm,10
job sid stat fail in job scheduler at,37,8,receive from email job sid stat fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,8
gr error,8,2,receive from email dear all would please help out can t complete gr for below mm qty po 설명 cid email,100,21,English,gkwcxzum answkqpe,29
switch down company ap ind kirty coating s access sw locate at india kirty be down since pm et on,97,20,switch down company ap ind kirty coating s access sw locate at india kirty be down since pm et on,97,20,English,spxqmiry zpwgoqju,8
job bkwin tax interface dev daily fail in job scheduler at,58,11,receive from email session queuing time hour complete disk agent fail disk agent abort disk agent disk agent total complete medium agent fail medium agent abort medium agent medium agent total mbyte total mb use medium total disk agent error total job bkwin tax interface dev daily fail in job scheduler at,306,52,English,bpctwhsn kzqsbmtp,8
could resolve item category error during zfd ordering,53,8,receive from email hello team be face item category issue for zfd free of charge order so … now can not select item category zkln … could please check and resolve the issue order detail sale org so order type zfd mm qty pcs delivery plant plant usage product lose intrans can not select item category zkln without error hence erp can not identify this open order can not see this open order at md screen cid email cid email cid email,433,82,English,fbvpcytz nokypgvx,13
job bk hana sid erp dly dp fail in job scheduler at,51,12,receive from email major from bma hostname hq company com lib drive time pm dev rmt can not write to device i o error critical from vbda hostname hq company com nfsbackup hana sid differential backup time pm receive abort request from sm aborting session queuing time hour complete disk agent fail disk agent abort disk agent disk agent total complete medium agent fail medium agent abort medium agent medium agent total mbyte total mb use medium total disk agent error total job bk hana sid erp dly dp fail in job scheduler at,527,94,English,bpctwhsn kzqsbmtp,5
job sid filesys fail in job scheduler at,40,8,receive from email major from bma hostname hq company com lib drive time pm dev rmt can not write to device i o error critical from vbda hostname hq company com hostname bk hq company com usr erp time pm receive abort request from sm aborting session queuing time hour complete disk agent fail disk agent abort disk agent disk agent total complete medium agent fail medium agent abort medium agent medium agent total mbyte total mb use medium total disk agent error total job sid filesys fail in job scheduler at,512,92,English,bpctwhsn kzqsbmtp,5
job sid filesys fail in job scheduler at,40,8,receive from email session queuing time hour complete disk agent fail disk agent abort disk agent disk agent total complete medium agent fail medium agent abort medium agent medium agent total mbyte total mb use medium total disk agent error total job sid filesys fail in job scheduler at,288,49,English,bpctwhsn kzqsbmtp,5
lnssm shop floor app application be down on at pm,49,10,the shop floor app be report a unreachable status on lnssm please investigate,77,13,English,mnlazfsr mtqrkhnx,1
be sid down i keep receive a balancing error,44,9,be sid down i keep receive a balancing error,44,9,English,pfzxecbo ptygkvzl,0
windows password reset,22,3,windows password reset,22,3,English,nzaghmdr sgdlajvw,0
vpn,3,1,receive from email good evening i have lose vpn login icon can this be reinstate,80,15,English,udetjzmn ayueswcm,0
skype and outlook not launch,28,5,skype and outlook not launch connect to the user system use teamviewer have the user connectt to the company vpn delete rsa file and help the user login to the skype try to reconfigure the mscrm no go try to repair the ms office reinstall the ms office caller confirm that be now able to see the email on outlook issue resolve computer lmsl contact,348,65,English,zxlhkpfi zylaghei,0
hostname status f be now utilize,32,6,hostname status f label dat hostname ebcd be now utilize,56,10,English,uvrbhlnt bjrmalzi,12
hostname status c be now utilize,32,6,hostname status c label sys hostname ab be now utilize,54,10,English,uvrbhlnt bjrmalzi,8
static on call,14,3,static on call,14,3,English,efbwiadp dicafxhv,0
change make for ticket inc have cause issue with delivery printing at plant,75,13,change make for ticket inc have cause issue with delivery printing at plant plant reconditioning facility be now locate at the plant facility in illinois usa there be change make to pick request printing for this group of employee but have affect the entire facility the plant group use to print delivery note at the user paramdntyeter now all delivery note be print at an office printer that be not near where be work this be not productive please reach out to omiwzbue auvolfhp and to help resolve this as soon as possible,524,93,English,khvzugxm yqfrcjwl,18
invalid incompletion error on so,32,5,so have configuration incompletion for item which be invalid these item be complete and error should not be there,113,19,English,gtfdvnry nxsaqrfh,13
not properly acess excel word skype outlook message product disable to continue to use activate now,99,16,if i try to use excel word skype outlook have a message product disable to continue to use activate now if i try to do use e mail account i have the message account email be not associate with the product to active the installation please enter the account associate with the product,283,53,English,jaeuqbvt orlhenfj,0
download archive tool software for erp sid,42,7,from lkwspqce knxaipyj mailto email send monday september pm to nwfodmhc exurcwkm subject amar support in instal archive tool to allowe view vendor inwarehouse tool hello can i please have support in download archive tool software for erp sid to allow access and view vendor inwarehouse tool,291,47,English,lkwspqce knxaipyj,0
hana report will not refresh analysis button all deactivate high priority,73,11,see attach workbook require to be refresh for msc requirement,61,10,English,pfzxecbo ptygkvzl,9
please reset erp pasword battel to log in username bragtydlc thank,66,11,receive from email gvderpbx udrzjxkm junior application sales engineer email mailto email,89,12,English,gvderpbx udrzjxkm,0
rma receive issue with item under lb rma have two item and,58,12,name debhyue fhyuiinch language browser microsoft internet explorer email email customer number telephone summary rma receive issue with item under lb rma have two item and and when try to receive item in under mm erp be do a round up value to lb and lb be there a way to receive exact weight in,295,55,English,DEsowkrH sciejzNE,18
please help brianna get work again on business manager,54,9,please help brianna get work again on business manager,54,9,English,eqrknylx nqpsjhwc,7
tnghnha ajuiegrson be in need of have access to the meet lab computer to be able to perform job,95,19,tnghnha ajuiegrson be in need of have access to the meet lab computer to be able to perform job,95,19,English,yjcrdmin jmizcfso,3
enterprise search no result,27,4,the following object search connector in enterprise search be not return any result material material bom specification,119,17,English,svlcqmnb qlwerhxt,14
accrual value be not match in the compensation system,53,9,there be a bug in the performance sproc that calculate payout value a small modification need to occur in order to calculate payout value on a monthly basis this be miss during uacyltoe hxgayczeing due to uacyltoe hxgayczeing take place in the first period of a financial toolcal year this issue only arise in subsequent period,327,56,English,aofextgk tugywidl,25
password reset,14,2,password reset,14,2,English,cbmryjid nkcmvwgi,0
not able to create delivery for sto,35,7,not able to create delivery for sto could please verify apo please asse to supply chain group,93,17,English,jaeuqbvt orlhenfj,29
skype sound not work,20,4,skype sound not work connect to the user system use teamviewer instal the sound driver restart the pc give a uacyltoe hxgaycze call user able to hear sound clearly issue resolve,177,31,English,gcaktshf kpgfrotd,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,xeucniqa dwpsevof,0
tax not calculate,17,3,from raghyvhdra najuty send monday september pm to nwfodmhc exurcwkm cc srinfhyath araghtyu parthyrubhji erathyur subject trurthyuft re tax not calculate hello please note material have reach along with excise inwarehouse tool without vat w r t to inwarehouse tools dt dt dt,274,43,English,ikerxqwz prkyuitl,13
need to configure email on the company iphone device,52,9,need to configure email on the company iphone device,52,9,English,insbceoa czgpyrtb,0
erp query,9,2,erp query,9,2,English,esuizcrh nytvhmbq,0
unlocked erp sid,16,3,unlocked erp sid,16,3,English,slrgconp onukdesq,0
need full control access to hostname team consign inventory,59,9,need full control access to hostname team consign inventory,59,9,English,ncuwyeib plnzhxvc,34
unable to end out an email,26,6,email some step await uacyltoe hxgayczeing from nwfodmhc exurcwkm send monday september pm to shhkioaprhkuoash ms email subject fw fw fw engineering drawing tool automation hi shiv please see if remove the name from outlook cache fix the issue to do this please type the name of the recipient will find a x next to the name click on to remove from the cache open a new email and type out the complete email address and uacyltoe hxgaycze if be able to send the email,465,85,English,peuckbvr tjihmgsv,0
i be have issue deliver part to stock in another plant the rqfhiong zkwfqagb have deliver plant of plant,104,19,i be have issue deliver part to stock in another plant the rqfhiong zkwfqagb have deliver plant of plant but will not deliver there ext summary i be have issue deliver part to stock in another plant the rqfhiong zkwfqagb have deliver plant of plant but will not deliver there,275,50,English,ulmctsvi lbvrdika,45
could not hear user from other side,35,7,could not hear user from other side phone issue,47,9,English,efbwiadp dicafxhv,0
user be unable to connect to the network drive in hostname,58,11,user be unable to connect to the network drive in hostname the server be also not reachable,91,17,English,bdeplqyj fewovrcq,12
mobile device activation,24,3,from puxsvfwr cwkjruni send monday september pm to nwfodmhc exurcwkm email subject sab wg synchronization with exchange activesync be temporarily block on device until access be grant by the administrator importance high hi can please activate mobile devise to recieve email on new business iphone,297,45,English,puxsvfwr cwkjruni,0
job job c fail in job scheduler at,34,8,receive from email job job c fail in job scheduler at,53,11,English,bpctwhsn kzqsbmtp,6
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,yzbqwpat fdjrctbu,19
mobile device activation,24,3,mobile device activation,24,3,English,feiozqbd uwljchaf,0
unable to connect wireless on the laptop,40,7,unable to connect wireless on the laptop,40,7,English,nouivdea boiypjvx,0
urgent with reference to ticket inc,35,6,uyjlodhq ymedkatw lghuiezj have map the unit m departments n public and s team to hostname incorrectly help mapping network drive to correctly inc but after reboot computer be connect back to kkbsm instead of hostname should have access m drive n drive and s drive with this server hostname pc name ekxw please help update login script for user jésica lópez rufo also user request to process this request as soon as possible as daily work be get hamper and very urgent for,472,84,English,cxqldoub vkgpatsu,39
vpn access pc name aidl user would thhyuokhkp,45,8,vpn access pc name aidl,23,5,English,yzbqwpat fdjrctbu,0
out of office for at least next month need password reset for the mail,70,14,out of office for at least next month need password reset for the mail,70,14,English,yawbtfjc krypjxnd,0
outlook not load,16,3,outlook not load,16,3,English,dqplrwoy cutpwjie,0
no response from other side german call,39,7,no response from other side german call,39,7,English,efbwiadp dicafxhv,0
remove another mail box from outlook,36,6,remove another mail box from outlook,36,6,English,rwhavckz drvxyihj,0
unable to login to skype,24,5,unable to login to skype,24,5,English,wpgxtnks opizcfle,0
erp help,8,2,receive from email hello when i try to get on to erp search and explorer analytic a blank screen come up below be have problem,126,25,English,anpocezt qturbxsg,9
need to contact keyhtyvin toriaytun,35,5,need to contact keyhtyvin toriaytun,35,5,English,ltqhgdbf qtgprmsh,0
unable to launch outlook,24,4,unable to launch outlook,24,4,English,bdgklrnj phwmkldy,0
erp customer ref not on delivery,32,6,hoi view attach example where the customer ref as enter in erp be not print on delivery s for sale org also printscreen from order wikfnmlwds wmtiruac attach this may also be the case in other sale org s please also check,221,42,English,ugtzkvps crnmtjsv,13
please set field services collaboration platform page to include collaboration platform meeting section as have explain,119,16,please set field services collaboration platform page to include collaboration platform meeting section as have explain,119,16,English,glnfyoqe fexlisau,16
password manager error fail to log inn now i m block please reset,65,13,phone,5,1,English,kzbrimwx dconpwbu,0
the printout of shipament lable be not work,43,8,name frafhyuo ajuyanni language browser microsoft internet explorer email email customer number telephone summary hello i m frafhyuo ajuyanni from company italy when i try to create a delivery pweaver ship the printout of shipament lable be not work for the italian shipmet work for other country be not work can please give support,332,54,English,dmqjhrso gzbunwie,0
no response from other side,27,5,no response from other side,27,5,English,efbwiadp dicafxhv,0
follow up call inplant,22,4,follow up call inplant,22,4,English,efbwiadp dicafxhv,0
wifi in r d conference room,27,6,receive from email please investigate and repair the cause of the weak wifi signal in the r d area use to have full bar and for some reason be barley bar,153,31,English,gdkiehbr kdithjsr,4
dual monitor issue,18,3,dual monitor issue,18,3,English,myzprshf ojvgdcwb,0
need interaction password reset,31,4,need interaction password reset phone,37,5,English,nqdyowsm yqerwtna,7
password management tool password manager password reset help and query,71,10,password management tool password manager password reset help and query,71,10,English,xjyuobma pzgqixlj,0
in printer paper transport defect,33,5,the transportation of the printer papier occur at regular interval notch paper feed defective,93,14,English,tczxaubk aupnwqoi,42
unable to log in to the mii system,34,8,unable to log in to the mii system user authentication fail,59,11,English,gcdptqae angojbil,0
i t issue,9,3,receive from email usa have no function up system all switch server be plug into the wall please ship two aerp j shrugott tyhuellis usa facilities mgr email mailto email,169,30,English,zwirhcol narzlmfw,3
reset password for robhyertyj f duca use password management tool password reset,80,12,the,3,1,English,acteiqdu bferalus,17
outlook not launch,18,3,outlook not launch,18,3,English,zylaexnv pvkzbduh,0
miss datum in bex productmanagement urgent,42,6,receive from email hello datum be dierppeare in bex from productmanagement master find the reason anybody have change the key figure name from sale revenue to total sale revenue in addition there be a new key figure net value nobody be inform about the change and the different content of the two key figure immediately need to change back all the report won´t work now best,374,66,English,uwofavej hxyatnjc,9
windows password reset,22,3,windows password reset,22,3,English,pschzfog hbzvkqjd,0
outlook issue,13,2,receive from email hello guy please can help i be advise to change password on password management tool manager and since i have do this i have have a delay on e mail as per the below screenshot cid email,204,40,English,iqmhjlwr jqmxaybi,0
active directory lock,21,3,active directory lock,21,3,English,kifmqeph srlzgbhw,0
mobile device activate,22,3,mobile device activate,22,3,English,ayktfvjr soghziec,0
in correct tax rate in inwarehouse tool,39,7,receive from email hello after implementation of updation of tax rate through system have come across instance wherein the system be capture different tax rate for local sale within karnataka other than one recommend in this connection attach herewith mail communication from team request to look into this aspect as be result into non compliance,346,55,English,ikerxqwz prkyuitl,10
contractor lock out please unlock vvlahstyurr in ad and erp sid,63,11,a student be work on a project with vinhytry and have report that password be no longer work to access datum assumption be that get password mix up between ad and hana sid and be lock out of one or both please have a look at unlock account,239,48,English,entuakhp xrnhtdmk,53
need to log into skype for business,35,7,can not access skype for business with login credential,55,9,English,jslqdgka clfrodny,0
erp crm instatnt timeout,24,4,user email issue user s session instantly kirtyle timeout error as per attach screen,84,14,English,fywphaxc jacdqbks,15
access to vpn,13,3,add user to the f employee group ryafbthn will uacyltoe hxgaycze and call in if have any issue,94,18,English,yalntgcz vaqjknsw,34
password wothyehre,18,2,receive from email hi pray for wothyehre the password for window and free up erp thank best with friendly greeting,114,20,English,dgwrmsja jzlpwuit,0
computer doesn t work,21,4,computer start but keybankrd and mouse don t work impossible login cable and connection ok keybankrd and mouse light on,119,20,English,fegahzqx bkeqfvpl,62
bobj explorer info space load issue email send to basis and dac team,68,13,hi team basis team dac please investigate the bobj explorer service be up and run be show blank screen at the moment i have re index all the information space but do not help please assist at an early i will create a ticket in few minute and update here,253,50,English,sholvcmf bjtpomrl,14
erp sid account unlock,22,4,erp sid account unlock,22,4,English,unhweist ednkuigf,0
account lock,12,2,account lock,12,2,English,zpsoifea wvhilrpz,0
erp issue with batch,20,4,receive from email hello erp do not create to s automatically because of the following error message cid email,110,19,English,bswlorek yhdrlgbs,18
when enter the prove solution ps under the page can not be foun,63,13,would please delete the solution so that i can upload again,59,11,English,qfwnbutk jtenbvkq,25
erp sid account unlock,22,4,erp sid account unlock,22,4,English,kxoezpwm wthpabcq,0
please create account,21,3,receive from email hi please k account generate reference user twdyzsfr gjedmfvh client scedxqur pocxqtrl,105,15,English,scedxqur pocxqtrl,34
hzptilsw wusdajqv log on balance error for sid and sid,54,10,hzptilsw wusdajqv log on balance error for sid and sid,54,10,English,ipwjorsc uboapexr,0
lhbsm disk free on f be now which be below warn threshold of,60,13,lhbsm disk free on f be now which be below warn threshold of,60,13,English,rkupnshb gsmzfojw,12
please write read authorization for folder m set staebefertigung,64,9,good morning please write read authorization for folder m set staebefertigung thank friendly greeting child,107,15,English,htvepyua izgulrcf,24
revert the change do for chg,28,6,revert the change do for chg please find the attachment for the issue that user be face,87,17,English,entuakhp xrnhtdmk,41
search and explorer analytic issue,34,5,search and explorer analytic issue be blank in bobj can login to search and analytic from ess but no search list be available phone,131,24,English,fbuacglh nvreldkt,49
tess application doesn t run,28,5,good morning when i double click on the tess icon on desktop start the initial loading page but after few second the application close and the programdnty doesn t run many,171,31,English,izohnpaq jtolembh,66
bobj,4,1,receive from email dear all can someone please check and fix the problem sale rep report that the report be not available in bobj i check too and also get the error message cid email,182,35,English,ctzykflo evzbhgru,9
windows account lock,20,3,good day please unlock user window account,42,7,English,oslzvpgk nhwsxgpb,0
local availability and pricing information miss on various obsolete product see screenshot,90,12,local availability and pricing information miss on various obsolete product see screenshot,90,12,English,hbmwlprq ilfvyodx,20
unable to turn on the computer,30,6,unable to turn on the computer,30,6,English,voprdmae ivrgdmao,0
po display by vendor not proper,31,6,po display by vendor be show only pende po s if selection paramdntyeter be select as be show only pende po s if selection paramdntyeter be keep as blank be show complete po s do on that vendor,192,38,English,mnrgpfqh mblavfti,29
private address field be enable on employee master crm ui,57,10,disable private address field new edit button on employee master crm ui,71,12,English,tavsikpl dcrkwuny,15
hostname be not respond since at am et on,41,9,hostname be not respond since at am et on,41,9,English,mnlazfsr mtqrkhnx,12
please add new user to company ru and nm nghyuakm,49,10,please add new user to company ru and nm nghyuakm install phone and headset as well,83,16,English,esguiazn pqdjtzin,7
aqzcisjy raflghneib account disabled,36,4,aqzcisjy raflghneib account disabled,36,4,English,aorthyme rnsuipbk,0
password reset collaboration platform problem,45,5,receive from email hello i change password this morning with password manager but i be have problem synche collaboration platform on collaboration platform keep ask to enter the new password again and again the rest include office on both the workstation and the mobile be work ok with the new password just collaboration platform be have a problem any suggestion cid email many,378,63,English,sbgvrncj idfhtoqv,0
unable to take print scan with new laptop,41,8,receive from email dear sir i have receive new laptop dell latitude e with which i be unable to take printout and scan from office printer kindly help in resolve the issue good,176,33,English,dwujlnhs ecxvrpyl,0
help reset erp sid bw production account password xighjacj,58,9,erp sid bw production account password change fail in password management tool system erp bex can not login now user would xighjacj receive from email hi please help on issue below cid email cid email,200,35,English,smktofel etsoirbw,0
error drue password change,26,4,receive from email hi i get the below message during password change kindly help cid a bb c e eeec with,103,21,English,fjnmxoya iljgptas,0
ooo till oct problem engineer tool offline version be not start,63,11,receive from email win bit dell m mit freundlichen grüßen best,62,11,English,qvncizuf ueiybanz,0
job job fail in job scheduler at,32,7,receive from email am error vm hostname ref vm be disconnected job job fail in job scheduler at,95,18,English,bpctwhsn kzqsbmtp,5
h gabryltk layer leader of the calculator h byczkowski h stankewitz be defective,80,13,hi h gabryltk layer leader of the calculator h byczkowski h stankewitz be defective can come please time,104,18,English,jionmpsf wnkpzcmv,24
calculator for measure device steli not work zedlet,51,8,calculator for measure device steli not work zedlet,51,8,English,jionmpsf wnkpzcmv,24
problem with accespoint conference room f e niptbwdq csenjruz,61,9,problem with accespoint conference room f e niptbwdq csenjruz,61,9,English,niptbwdq csenjruz,24
open problem with m wsb exe wu pfjwinbg ljtzbdqg,48,9,open problem with m wsb exe wu pfjwinbg ljtzbdqg,48,9,English,pfjwinbg ljtzbdqg,24
account lock,12,2,account lock,12,2,English,qrstgxwn fhpyxgjz,0
datenlogger opus thip q can not establish connection,52,8,datenlogger opus thip q be require to monitor the room temperature take place after the external maintenance no network connection to the pc pmü,144,24,English,qkedpfyj qechgaty,33
remote vpn issue,16,3,i can not connect to remote vpn use either of the link below probably have something to do with emea upgrade activity that take place on september please fix the problem so that i can connect to vpn,198,38,English,dpurliet ujlmdfac,0
requirement of internet access for machine pc eorjylzm vrkofesj at pu,69,11,receive from email machine detail ip address subnet mask physical address e a host name mc service engg from the machine supplier from switzerland be with for a training programdntyme need the internet access in the machine for a week request immediate support kuhgtyjvelu u manager – reliability engineering email mailto email,327,52,English,dfiyvmec wxioadpt,19
can not create inventory list,29,5,forward request to the rqfhiong zkwfqagb dl copy tomoe email from zsqabokr xbtsaodr send monday september pm to nwfodmhc exurcwkm subject can not create inventory list help desk about the quantity of mm no want to change from zero please find the attach document have problem â the inventory list can not show by mb â ¡ the inventory list can not create by mi best,364,66,English,zsqabokr xbtsaodr,18
转发 以色列修磨 rma,12,3,receive from email dear team need to cancel sto pls help to reverse inwarehouse tool markhtyed in red thx cid email b rgds judthtihty zhuyhts company hardpoint apac wgq dc,171,30,English,wktesmbp lorjymef,10
account for aqzcisjy raflghneib vvdghtteij be lock please unlock,64,9,account for aqzcisjy raflghneib vvdghtteij be lock please unlock,64,9,English,sxabotdw xlozwcyk,0
password expire in day,22,4,dear all password run out in day i be travel and have no chance to come into the company network please extend current password until the st of september,153,29,English,jxphgfmb gjbtuwek,0
unable to set skype meeting in outlook,38,7,unable to set skype meeting in outlook,38,7,English,hzagqxbf fckwrsdq,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
there isn t any price under customer pruchase order,51,9,the customer group of customer have be defigne as cn and i be tell price of the product mm have be maitaine in system but the order isn t with any price on please check and let know what s wrong in system for the customer be in urgnet need of the order please solve the problem for aerp please find the detail from the attach,325,66,English,phfduvwl yqnaucep,13
security incident in possible malware infection traffic from sinkhole domain to apul,84,12,source ip source port source ip geolocation lisbon prt destination ip destination hostname apul destination port user name xcirqlup zopbiufn location asiapac apac apacpuchn computers apul sep sms status not update field sale user yes no no dsw event log see below event datum relate event event would event summary vid server response with anubis sinkhole cookie set probable infected asset occurrence count event count host and connection information source ip source port source ip geolocation lisbon prt destination ip destination hostname apul destination port connection directionality incoming protocol tcp http status code device information device ip device name isensor company com log time at utc action not block vendor eventid cvss score vendor priority vendor version scwx event processing information sherlock rule would sle inspector event would ontology would event type would agent would event detail vid server response with anubis sinkhole cookie set probable infected asset classification none priority action accept impact flag impact block vlan mpls label pad sensor would event would time src ip dst ip sport itype dport icode proto tcp ttl tos x would iplen dgmlen df ap seq xaad ack xce win xb tcplen pcap ex http uri domain newflv sohu ccgslb net ex http hostname sso anbtr com o security ascii packet s pcap ascii s w h e x p p t p h http move temporarily server nginx date mon sep gmt content type text html connection close set cookie anbtr aacbccbefb domain ccgslb net location pcap ascii e hex packet s pcap hex s c d c b w h b f e x c cde ac f ebc a ad p p ce b a t p h http f e d f move t d f c da emporarily serv a e e d a a er nginx date d fe c mon sep a a d da gmt f e e d a content type te a f d cd a fe e xt html connect b f ea cf da d ion close set c f fb a e d cookie anbtr a d acbccb e b efb f f sid e de c ee domain ccgslb n da cf fe a et location ht af f fe e c tp xsso newflv e f e c ee sohu ccgslb net f aacbcc befb d ad a f af f go fe e c e f e sso newflv sohu c ee f ccgslb net aa cbccb efb pcap hex e,2048,416,English,gzhapcld fdigznbk,31
apac apac china company ap chn china g access vmsw and multiple server go down at am et on,90,19,job name,8,2,English,mnlazfsr mtqrkhnx,8
unable to open jpg png file,27,6,receive from email hello i be unable to open jpg png file pls do the needful vivthyek byuihand asst manager sale company india ltd india,136,25,English,pxbqkfgm qexvrmcn,0
how to recall send message in outlook,37,7,how to recall send message in outlook,37,7,English,iwqhcmok ovxygicj,0
reset the password for mobaidfx gviwlsrm on erp production hcm,62,10,reset password,14,2,English,mobaidfx gviwlsrm,0
defective hand scanner to the feedback terminal,47,7,hand scanner at the feedback terminal defective opposite kln,60,9,English,mhvbnqri sacvgzxf,33
netweaver,9,1,folgender fehler microsoft net framdntyework be not instal please contact administrator,87,11,English,ogfjbrlw nwakldmx,0
company engineering tool access,31,4,receive from email hello please help to access the company engineering tool tool data system and crm company engineering tool be ask email and password to open and try with email email mailto email password but be show incorrect would password so please do needful thank ramdntygy,280,47,English,mcphgvnb bdegqtyj,0
unable to connect to engineering tool,37,6,unable to connect to engineering tool,37,6,English,qrstgxwn fhpyxgjz,0
can not log into vpn,20,5,name gwptzvxm rhozsfty language browser microsoft internet explorer email email customer number telephone summary can not log into vpn,134,19,English,gwptzvxm rhozsfty,0
sorahdyggs ijyuvind sohytganvi system be lock and be not able to log in,71,13,name pradtheyp language browser microsoft internet explorer email email customer number telephone summary sorahdyggs ijyuvind sohytganvi system be lock and be not able to log in,177,26,English,pvuyszkd mqxdtubl,0
t o can not be generate,23,6,receive from email dear the t o can not be generate for below dn would pls help to check,88,19,English,gjtyswkb dpvaymxr,18
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
windows account lock,20,3,windows account lock,20,3,English,xckbimhl ymejrugf,0
